campaign_id,campaign_type,engagement_rate,customer_segment,conversion
1,Ads,0.69,Adult,0
2,Email,0.04,Young,1
3,Social Media,0.19,Senior,1
4,Email,0.96,Adult,1
5,Social Media,0.13,Senior,1
6,Social Media,0.55,Adult,0
7,Ads,0.54,Senior,1
8,Social Media,0.19,Senior,0
9,Email,0.67,Young,1
10,Ads,0.78,Adult,1
11,Email,0.88,Young,0
12,Ads,0.88,Young,0
13,Social Media,0.27,Adult,0
14,Email,0.12,Young,0
15,Ads,0.18,Young,0
16,Ads,0.52,Senior,1
17,Email,0.03,Adult,1
18,Email,0.47,Young,1
19,Ads,0.23,Young,0
20,Social Media,0.7,Senior,0
21,Ads,0.79,Young,1
22,Email,0.39,Young,0
23,Email,0.66,Senior,0
24,Email,0.01,Senior,1
25,Social Media,0.95,Young,1
26,Email,0.7,Young,0
27,Social Media,0.47,Senior,1
28,Email,0.24,Young,1
29,Ads,0.18,Senior,1
30,Email,0.39,Young,1
31,Social Media,0.19,Young,1
32,Social Media,0.07,Young,1
33,Social Media,0.54,Young,1
34,Email,0.58,Senior,0
35,Social Media,0.81,Adult,1
36,Social Media,0.32,Young,1
37,Social Media,0.67,Young,0
38,Email,0.11,Young,0
39,Social Media,0.11,Senior,1
40,Social Media,0.83,Young,1
41,Email,0.46,Senior,1
42,Ads,0.43,Senior,1
43,Social Media,0.05,Young,0
44,Social Media,0.89,Senior,1
45,Social Media,0.77,Adult,0
46,Social Media,0.68,Adult,1
47,Email,0.25,Young,1
48,Social Media,0.97,Senior,0
49,Social Media,0.17,Adult,0
50,Ads,0.77,Adult,0
51,Email,0.54,Adult,1
52,Email,0.53,Young,1
53,Email,0.7,Senior,1
54,Email,0.02,Senior,0
55,Social Media,0.78,Adult,1
56,Social Media,0.52,Young,1
57,Email,0.11,Senior,1
58,Email,0.2,Senior,0
59,Email,0.53,Adult,1
60,Email,0.83,Adult,1
61,Email,0.14,Young,1
62,Social Media,0.57,Senior,0
63,Email,0.51,Senior,1
64,Email,0.9,Young,0
65,Email,0.25,Adult,0
66,Ads,0.96,Senior,1
67,Email,0.88,Adult,1
68,Email,0.5,Adult,0
69,Social Media,0.69,Senior,0
70,Email,0.59,Young,1
71,Email,0.81,Adult,0
72,Social Media,0.44,Senior,0
73,Email,0.94,Senior,0
74,Social Media,0.74,Senior,1
75,Ads,0.67,Adult,0
76,Ads,0.55,Adult,1
77,Email,0.83,Adult,0
78,Email,0.86,Senior,0
79,Email,0.67,Adult,0
80,Social Media,0.17,Senior,0
81,Ads,0.76,Adult,1
82,Social Media,0.14,Senior,0
83,Ads,0.27,Young,1
84,Social Media,0.89,Adult,1
85,Ads,0.6,Senior,1
86,Email,0.19,Senior,1
87,Ads,0.46,Adult,1
88,Ads,0.63,Senior,0
89,Email,0.97,Senior,1
90,Ads,0.77,Young,0
91,Ads,0.62,Adult,1
92,Social Media,0.12,Senior,1
93,Ads,0.15,Young,0
94,Social Media,0.87,Young,0
95,Social Media,0.53,Senior,1
96,Ads,0.49,Adult,0
97,Social Media,0.01,Young,1
98,Social Media,0.06,Senior,1
99,Ads,0.03,Young,1
100,Social Media,0.92,Adult,1
101,Ads,0.89,Senior,0
102,Ads,0.9,Adult,1
103,Social Media,0.32,Senior,1
104,Social Media,0.13,Senior,1
105,Ads,0.56,Young,0
106,Ads,0.24,Senior,0
107,Social Media,0.98,Young,1
108,Social Media,0.51,Senior,0
109,Email,0.39,Young,0
110,Ads,0.56,Young,1
111,Ads,0.96,Young,0
112,Ads,0.19,Young,0
113,Ads,0.6,Senior,1
114,Email,0.1,Young,1
115,Social Media,0.88,Adult,0
116,Email,0.05,Young,0
117,Social Media,0.48,Young,1
118,Social Media,0.42,Senior,0
119,Ads,0.82,Young,1
120,Ads,0.99,Young,0
121,Ads,0.24,Adult,0
122,Ads,0.21,Young,1
123,Email,0.58,Young,1
124,Email,0.76,Adult,0
125,Email,0.54,Adult,1
126,Ads,0.48,Senior,1
127,Ads,0.46,Adult,0
128,Email,0.36,Senior,1
129,Social Media,0.97,Adult,1
130,Email,0.52,Young,1
131,Email,0.05,Senior,1
132,Email,0.71,Adult,0
133,Email,0.29,Young,1
134,Ads,0.47,Senior,1
135,Email,0.41,Adult,0
136,Email,0.33,Adult,1
137,Email,0.02,Senior,0
138,Email,0.96,Young,1
139,Email,0.85,Senior,1
140,Email,0.64,Adult,0
141,Email,0.26,Adult,0
142,Email,0.63,Adult,1
143,Social Media,0.98,Adult,1
144,Social Media,0.56,Adult,0
145,Social Media,0.76,Adult,0
146,Social Media,0.36,Senior,0
147,Email,0.6,Adult,0
148,Social Media,0.61,Senior,0
149,Email,0.42,Young,1
150,Email,0.35,Senior,0
151,Ads,0.58,Senior,1
152,Email,0.11,Senior,0
153,Social Media,0.35,Senior,0
154,Social Media,0.41,Adult,1
155,Email,0.33,Adult,0
156,Email,0.08,Young,0
157,Ads,0.46,Young,1
158,Email,0.74,Senior,0
159,Ads,0.65,Young,1
160,Ads,0.02,Adult,0
161,Social Media,0.86,Young,0
162,Social Media,0.13,Young,1
163,Ads,0.21,Young,1
164,Ads,0.32,Adult,0
165,Email,0.92,Adult,1
166,Ads,0.72,Adult,1
167,Email,0.64,Senior,1
168,Email,0.43,Senior,0
169,Email,0.17,Adult,0
170,Social Media,0.43,Young,0
171,Ads,0.03,Adult,0
172,Email,0.55,Young,1
173,Email,0.31,Senior,1
174,Ads,0.99,Young,1
175,Ads,0.8,Adult,0
176,Ads,0.37,Senior,1
177,Social Media,0.98,Senior,0
178,Ads,0.4,Adult,1
179,Email,0.51,Senior,0
180,Ads,0.52,Young,0
181,Social Media,0.3,Young,0
182,Email,0.64,Young,1
183,Social Media,0.89,Young,1
184,Social Media,0.3,Adult,1
185,Ads,0.15,Young,1
186,Email,0.73,Senior,0
187,Email,0.69,Adult,0
188,Social Media,0.39,Young,0
189,Email,0.83,Adult,1
190,Ads,0.43,Adult,0
191,Social Media,0.54,Young,1
192,Ads,0.92,Senior,1
193,Email,0.35,Adult,1
194,Ads,0.84,Senior,0
195,Email,0.56,Young,0
196,Ads,0.12,Senior,0
197,Social Media,0.53,Senior,1
